LAMMPS data file for BaTiO3 core-shell model

5120 atoms
2560 bonds
6 atom types
3 bond types

0.0 32.0000 xlo xhi
0.0 32.0000 ylo yhi
0.0 32.0000 zlo zhi

Masses

1 137.33000  # Ba_core
2 0.00001  # Ba_shell
3 47.86700  # Ti_core
4 0.00001  # Ti_shell
5 15.99900  # O_core
6 0.00001  # O_shell

Atoms # full

262 131 2 -2.0000 0.010000 12.010000 8.010000
263 132 3 4.0000 2.000000 14.000000 10.000000
264 132 4 -4.0000 2.010000 14.010000 10.010000
265 133 5 -2.6667 2.000000 14.000000 8.000000
266 133 6 2.6667 2.010000 14.010000 8.010000
267 134 5 -2.6667 0.000000 14.000000 10.000000
268 134 6 2.6667 0.010000 14.010000 10.010000
269 135 5 -2.6667 2.000000 12.000000 10.000000
270 135 6 2.6667 2.010000 12.010000 10.010000
271 136 1 2.0000 0.000000 12.000000 12.000000
272 136 2 -2.0000 0.010000 12.010000 12.010000
273 137 3 4.0000 2.000000 14.000000 14.000000
274 137 4 -4.0000 2.010000 14.010000 14.010000
275 138 5 -2.6667 2.000000 14.000000 12.000000
276 138 6 2.6667 2.010000 14.010000 12.010000
277 139 5 -2.6667 0.000000 14.000000 14.000000
278 139 6 2.6667 0.010000 14.010000 14.010000
279 140 5 -2.6667 2.000000 12.000000 14.000000
280 140 6 2.6667 2.010000 12.010000 14.010000
281 141 1 2.0000 0.000000 12.000000 16.000000
282 141 2 -2.0000 0.010000 12.010000 16.010000
283 142 3 4.0000 2.000000 14.000000 18.000000
284 142 4 -4.0000 2.010000 14.010000 18.010000
285 143 5 -2.6667 2.000000 14.000000 16.000000
286 143 6 2.6667 2.010000 14.010000 16.010000
287 144 5 -2.6667 0.000000 14.000000 18.000000
288 144 6 2.6667 0.010000 14.010000 18.010000
289 145 5 -2.6667 2.000000 12.000000 18.000000
290 145 6 2.6667 2.010000 12.010000 18.010000
291 146 1 2.0000 0.000000 12.000000 20.000000
292 146 2 -2.0000 0.010000 12.010000 20.010000
293 147 3 4.0000 2.000000 14.000000 22.000000
294 147 4 -4.0000 2.010000 14.010000 22.010000
295 148 5 -2.6667 2.000000 14.000000 20.000000
296 148 6 2.6667 2.010000 14.010000 20.010000
297 149 5 -2.6667 0.000000 14.000000 22.000000
298 149 6 2.6667 0.010000 14.010000 22.010000
299 150 5 -2.6667 2.000000 12.000000 22.000000
300 150 6 2.6667 2.010000 12.010000 22.010000
301 151 1 2.0000 0.000000 12.000000 24.000000
302 151 2 -2.0000 0.010000 12.010000 24.010000
303 152 3 4.0000 2.000000 14.000000 26.000000
304 152 4 -4.0000 2.010000 14.010000 26.010000
305 153 5 -2.6667 2.000000 14.000000 24.000000
306 153 6 2.6667 2.010000 14.010000 24.010000
307 154 5 -2.6667 0.000000 14.000000 26.000000
308 154 6 2.6667 0.010000 14.010000 26.010000
309 155 5 -2.6667 2.000000 12.000000 26.000000
310 155 6 2.6667 2.010000 12.010000 26.010000
311 156 1 2.0000 0.000000 12.000000 28.000000
312 156 2 -2.0000 0.010000 12.010000 28.010000
313 157 3 4.0000 2.000000 14.000000 30.000000
314 157 4 -4.0000 2.010000 14.010000 30.010000
315 158 5 -2.6667 2.000000 14.000000 28.000000
316 158 6 2.6667 2.010000 14.010000 28.010000
317 159 5 -2.6667 0.000000 14.000000 30.000000
318 159 6 2.6667 0.010000 14.010000 30.010000
319 160 5 -2.6667 2.000000 12.000000 30.000000
320 160 6 2.6667 2.010000 12.010000 30.010000
321 161 1 2.0000 0.000000 16.000000 0.000000
322 161 2 -2.0000 0.010000 16.010000 0.010000
323 162 3 4.0000 2.000000 18.000000 2.000000
324 162 4 -4.0000 2.010000 18.010000 2.010000
325 163 5 -2.6667 2.000000 18.000000 0.000000
326 163 6 2.6667 2.010000 18.010000 0.010000
327 164 5 -2.6667 0.000000 18.000000 2.000000
328 164 6 2.6667 0.010000 18.010000 2.010000
329 165 5 -2.6667 2.000000 16.000000 2.000000
330 165 6 2.6667 2.010000 16.010000 2.010000
331 166 1 2.0000 0.000000 16.000000 4.000000
332 166 2 -2.0000 0.010000 16.010000 4.010000
333 167 3 4.0000 2.000000 18.000000 6.000000
334 167 4 -4.0000 2.010000 18.010000 6.010000
335 168 5 -2.6667 2.000000 18.000000 4.000000
336 168 6 2.6667 2.010000 18.010000 4.010000
337 169 5 -2.6667 0.000000 18.000000 6.000000
338 169 6 2.6667 0.010000 18.010000 6.010000
339 170 5 -2.6667 2.000000 16.000000 6.000000
340 170 6 2.6667 2.010000 16.010000 6.010000
341 171 1 2.0000 0.000000 16.000000 8.000000
342 171 2 -2.0000 0.010000 16.010000 8.010000
343 172 3 4.0000 2.000000 18.000000 10.000000
344 172 4 -4.0000 2.010000 18.010000 10.010000
345 173 5 -2.6667 2.000000 18.000000 8.000000
346 173 6 2.6667 2.010000 18.010000 8.010000
347 174 5 -2.6667 0.000000 18.000000 10.000000
348 174 6 2.6667 0.010000 18.010000 10.010000
349 175 5 -2.6667 2.000000 16.000000 10.000000
350 175 6 2.6667 2.010000 16.010000 10.010000
351 176 1 2.0000 0.000000 16.000000 12.000000
352 176 2 -2.0000 0.010000 16.010000 12.010000
353 177 3 4.0000 2.000000 18.000000 14.000000
354 177 4 -4.0000 2.010000 18.010000 14.010000
355 178 5 -2.6667 2.000000 18.000000 12.000000
356 178 6 2.6667 2.010000 18.010000 12.010000
357 179 5 -2.6667 0.000000 18.000000 14.000000
358 179 6 2.6667 0.010000 18.010000 14.010000
359 180 5 -2.6667 2.000000 16.000000 14.000000
360 180 6 2.6667 2.010000 16.010000 14.010000
361 181 1 2.0000 0.000000 16.000000 16.000000
362 181 2 -2.0000 0.010000 16.010000 16.010000
363 182 3 4.0000 2.000000 18.000000 18.000000
364 182 4 -4.0000 2.010000 18.010000 18.010000
365 183 5 -2.6667 2.000000 18.000000 16.000000
366 183 6 2.6667 2.010000 18.010000 16.010000
367 184 5 -2.6667 0.000000 18.000000 18.000000
368 184 6 2.6667 0.010000 18.010000 18.010000
369 185 5 -2.6667 2.000000 16.000000 18.000000
370 185 6 2.6667 2.010000 16.010000 18.010000
371 186 1 2.0000 0.000000 16.000000 20.000000
372 186 2 -2.0000 0.010000 16.010000 20.010000
373 187 3 4.0000 2.000000 18.000000 22.000000
374 187 4 -4.0000 2.010000 18.010000 22.010000
375 188 5 -2.6667 2.000000 18.000000 20.000000
376 188 6 2.6667 2.010000 18.010000 20.010000
377 189 5 -2.6667 0.000000 18.000000 22.000000
378 189 6 2.6667 0.010000 18.010000 22.010000
379 190 5 -2.6667 2.000000 16.000000 22.000000
380 190 6 2.6667 2.010000 16.010000 22.010000
381 191 1 2.0000 0.000000 16.000000 24.000000
382 191 2 -2.0000 0.010000 16.010000 24.010000
383 192 3 4.0000 2.000000 18.000000 26.000000
384 192 4 -4.0000 2.010000 18.010000 26.010000
385 193 5 -2.6667 2.000000 18.000000 24.000000
386 193 6 2.6667 2.010000 18.010000 24.010000
387 194 5 -2.6667 0.000000 18.000000 26.000000
388 194 6 2.6667 0.010000 18.010000 26.010000
389 195 5 -2.6667 2.000000 16.000000 26.000000
390 195 6 2.6667 2.010000 16.010000 26.010000
391 196 1 2.0000 0.000000 16.000000 28.000000
392 196 2 -2.0000 0.010000 16.010000 28.010000
393 197 3 4.0000 2.000000 18.000000 30.000000
394 197 4 -4.0000 2.010000 18.010000 30.010000
395 198 5 -2.6667 2.000000 18.000000 28.000000
396 198 6 2.6667 2.010000 18.010000 28.010000
397 199 5 -2.6667 0.000000 18.000000 30.000000
398 199 6 2.6667 0.010000 18.010000 30.010000
399 200 5 -2.6667 2.000000 16.000000 30.000000
400 200 6 2.6667 2.010000 16.010000 30.010000
401 201 1 2.0000 0.000000 20.000000 0.000000
402 201 2 -2.0000 0.010000 20.010000 0.010000
403 202 3 4.0000 2.000000 22.000000 2.000000
404 202 4 -4.0000 2.010000 22.010000 2.010000
405 203 5 -2.6667 2.000000 22.000000 0.000000
406 203 6 2.6667 2.010000 22.010000 0.010000
407 204 5 -2.6667 0.000000 22.000000 2.000000
408 204 6 2.6667 0.010000 22.010000 2.010000
409 205 5 -2.6667 2.000000 20.000000 2.000000
410 205 6 2.6667 2.010000 20.010000 2.010000
411 206 1 2.0000 0.000000 20.000000 4.000000
412 206 2 -2.0000 0.010000 20.010000 4.010000
413 207 3 4.0000 2.000000 22.000000 6.000000
414 207 4 -4.0000 2.010000 22.010000 6.010000
415 208 5 -2.6667 2.000000 22.000000 4.000000
416 208 6 2.6667 2.010000 22.010000 4.010000
417 209 5 -2.6667 0.000000 22.000000 6.000000
418 209 6 2.6667 0.010000 22.010000 6.010000
419 210 5 -2.6667 2.000000 20.000000 6.000000
420 210 6 2.6667 2.010000 20.010000 6.010000
421 211 1 2.0000 0.000000 20.000000 8.000000
422 211 2 -2.0000 0.010000 20.010000 8.010000
423 212 3 4.0000 2.000000 22.000000 10.000000
424 212 4 -4.0000 2.010000 22.010000 10.010000
425 213 5 -2.6667 2.000000 22.000000 8.000000
426 213 6 2.6667 2.010000 22.010000 8.010000
427 214 5 -2.6667 0.000000 22.000000 10.000000
428 214 6 2.6667 0.010000 22.010000 10.010000
429 215 5 -2.6667 2.000000 20.000000 10.000000
430 215 6 2.6667 2.010000 20.010000 10.010000
431 216 1 2.0000 0.000000 20.000000 12.000000
432 216 2 -2.0000 0.010000 20.010000 12.010000
433 217 3 4.0000 2.000000 22.000000 14.000000
434 217 4 -4.0000 2.010000 22.010000 14.010000
435 218 5 -2.6667 2.000000 22.000000 12.000000
436 218 6 2.6667 2.010000 22.010000 12.010000
437 219 5 -2.6667 0.000000 22.000000 14.000000
438 219 6 2.6667 0.010000 22.010000 14.010000
439 220 5 -2.6667 2.000000 20.000000 14.000000
440 220 6 2.6667 2.010000 20.010000 14.010000
441 221 1 2.0000 0.000000 20.000000 16.000000
